avg color red,avg color green,avg color blue,entropy of red,entropy of green,entropy of blue,avg entropy,width,height,aspect ratio,area,size,compression ratio,bit depth,total pixels,hue,saturation,value,hue median,saturation median,value median,output
185.9413981,158.7269885,160.2498346,6.56336789,6.606648532,6.374219379,6.514745267,800,650,1.230769231,520000,55539,0.106805769,24,520000,0.55011479,0.286401083,0.764006765,0.621212121,0.115,0.921568627,1
191.0907379,206.5318831,193.4442218,5.14248374,5.131256872,5.176117979,5.149952864,800,620,1.290322581,496000,92073,0.185631048,24,496000,0.190937852,0.22807049,0.842613805,0,0,0.988235294,1
169.1557986,169.5102595,172.46204,6.809320071,6.823072551,6.833650908,6.82201451,856,638,1.34169279,546128,119830,0.219417426,24,546128,0.307944571,0.165470802,0.714553221,0.09009009,0.031372549,0.858823529,1
214.0905101,210.7882722,201.2496109,6.0070491,5.956198136,5.523259913,5.828835717,800,620,1.290322581,496000,68853,0.138816532,24,496000,0.559170896,0.148925718,0.864516097,0.616666667,0.060483871,0.968627451,1
187.0021076,190.5238717,197.703846,5.340790646,5.444288713,5.465077993,5.416719117,856,638,1.34169279,546128,121187,0.221902191,24,546128,0.176176504,0.12644762,0.785398589,0,0,0.968627451,1
53.57196988,57.51471674,68.45482695,3.871206301,3.918255038,3.880416405,3.889959248,957,709,1.349788434,678513,86853,0.128004917,24,678513,0.097581678,0.158208453,0.270229504,0,0,0.003921569,1
106.3838881,112.2809959,124.1796491,4.57692355,4.847956058,4.809911444,4.744930351,951,709,1.341325811,674259,122557,0.181765464,24,674259,0.083024522,0.123594688,0.488815873,0,0,0.411764706,1
217.078375,210.460127,209.2066109,5.657576041,5.637838796,5.090119484,5.461844774,800,620,1.290322581,496000,55725,0.11234879,24,496000,0.606859779,0.171159547,0.900545746,0.616666667,0.067460317,0.97254902,1
138.095531,138.2716314,145.9177275,6.508529672,6.413608051,6.373313106,6.431816943,1004,748,1.342245989,750992,217754,0.289955153,24,750992,0.183754375,0.150084742,0.574941301,0,0.034090909,0.682352941,1
161.4805057,157.0732301,159.5586591,6.935595137,6.981761814,7.062711996,6.993356316,952,709,1.342736248,674968,169550,0.251197094,24,674968,0.501928873,0.130936748,0.658592065,0.603174603,0.075,0.737254902,1
189.388327,195.462616,164.7882297,4.095519993,4.123420346,4.14296342,4.120634586,951,709,1.341325811,674259,88236,0.130863659,24,674259,0.40836361,0.283188486,0.792713965,0.494350282,0.273148148,0.847058824,1
176.1140189,194.3458979,194.6585629,5.759348754,6.025259381,6.156918293,5.980508809,567,427,1.327868852,242109,44155,0.182376533,24,242109,0.23566303,0.242523186,0.826422113,0.091324201,0.024590164,0.964705882,1
